Designator	Val	Package	Mid X	Mid Y	Rotation	Layer
C1	0.1 uF	C_0805_2012Metric silk moved	117	-117	90	top
C2	0.1 uF	C_0805_2012Metric silk moved	103	-122	180	top
C3	0.1 uF	C_0805_2012Metric silk moved	89	-117	90	top
C4	0.1 uF	C_0805_2012Metric silk moved	83	-102	90	top
C5	0.1 uF	C_0805_2012Metric silk moved	89	-87	-90	top
C6	0.1 uF	C_0805_2012Metric silk moved	103	-82	0	top
C7	0.1 uF	C_0805_2012Metric silk moved	117	-87	180	top
C8	0.1 uF	C_0805_2012Metric silk moved	123	-102	-90	top
C9	0.1 uF	C_0805_2012Metric silk moved	133	-119	0	top
C10	0.1 uF	C_0805_2012Metric silk moved	148	-119	0	top
C11	0.1 uF	C_0805_2012Metric silk moved	163	-119	0	top
C12	0.1 uF	C_0805_2012Metric silk moved	139	-107	0	top
C13	0.1 uF	C_0805_2012Metric silk moved	154	-107	0	top
C14	0.1 uF	C_0805_2012Metric silk moved	169	-107	0	top
C15	0.1 uF	C_0805_2012Metric silk moved	184	-107	0	top
C16	0.1 uF	C_0805_2012Metric silk moved	133	-95	0	top
C17	0.1 uF	C_0805_2012Metric silk moved	148	-95	0	top
C18	0.1 uF	C_0805_2012Metric silk moved	163	-95	0	top
C19	0.1 uF	C_0805_2012Metric silk moved	120	-72	90	top
C20	0.1 uF	C_0805_2012Metric silk moved	120	-57	90	top
C21	0.1 uF	C_0805_2012Metric silk moved	120	-42	90	top
C22	0.1 uF	C_0805_2012Metric silk moved	108	-66	90	top
C23	0.1 uF	C_0805_2012Metric silk moved	108	-51	90	top
C24	0.1 uF	C_0805_2012Metric silk moved	108	-36	90	top
C25	0.1 uF	C_0805_2012Metric silk moved	108	-21	90	top
C26	0.1 uF	C_0805_2012Metric silk moved	96	-72	90	top
C27	0.1 uF	C_0805_2012Metric silk moved	96	-57	90	top
C28	0.1 uF	C_0805_2012Metric silk moved	96	-42	90	top
C29	0.1 uF	C_0805_2012Metric silk moved	73	-85	180	top
C30	0.1 uF	C_0805_2012Metric silk moved	58	-85	180	top
C31	0.1 uF	C_0805_2012Metric silk moved	43	-85	180	top
C32	0.1 uF	C_0805_2012Metric silk moved	66.95	-97	180	top
C33	0.1 uF	C_0805_2012Metric silk moved	51.95	-97	180	top
C34	0.1 uF	C_0805_2012Metric silk moved	36.95	-97	180	top
C35	0.1 uF	C_0805_2012Metric silk moved	21.95	-97	180	top
C36	0.1 uF	C_0805_2012Metric silk moved	73	-109	180	top
C37	0.1 uF	C_0805_2012Metric silk moved	58	-109	180	top
C38	0.1 uF	C_0805_2012Metric silk moved	43	-109	180	top
C39	0.1 uF	C_0805_2012Metric silk moved	86	-132	-90	top
C40	0.1 uF	C_0805_2012Metric silk moved	86	-147	-90	top
C41	0.1 uF	C_0805_2012Metric silk moved	86	-162	-90	top
C42	0.1 uF	C_0805_2012Metric silk moved	98	-137.95	-90	top
C43	0.1 uF	C_0805_2012Metric silk moved	98	-152.95	-90	top
C44	0.1 uF	C_0805_2012Metric silk moved	98	-166	-90	top
C45	0.1 uF	C_0805_2012Metric silk moved	98	-182.95	-90	top
C46	0.1 uF	C_0805_2012Metric silk moved	110	-132	-90	top
C47	0.1 uF	C_0805_2012Metric silk moved	110	-147	-90	top
C48	0.1 uF	C_0805_2012Metric silk moved	110	-162	-90	top
D1	WS2812B	LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm	113.606601	-112.606602	45	top
D2	WS2812B	LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm	103	-117	0	top
D3	WS2812B	LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm	92.393397	-112.606602	-45	top
D4	WS2812B	LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm	88	-102	-90	top
D5	WS2812B	LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm	92.393397	-91.393398	-135	top
D6	WS2812B	LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm	103	-87	180	top
D7	WS2812B	LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm	113.606601	-91.393398	135	top
D8	WS2812B	LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm	117.999999	-102	90	top
D9	WS2812B	LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm	132.999999	-114	180	top
D10	WS2812B	LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm	147.999999	-114	180	top
D11	WS2812B	LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm	162.999999	-114	180	top
D12	WS2812B	LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm	138.999999	-102	180	top
D13	WS2812B	LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm	153.999999	-102	180	top
D14	WS2812B	LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm	168.999999	-102	180	top
D15	WS2812B	LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm	183.999999	-102	180	top
D16	WS2812B	LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm	132.999999	-90	180	top
D17	WS2812B	LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm	147.999999	-90	180	top
D18	WS2812B	LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm	162.999999	-90	180	top
D19	WS2812B	LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm	114.999999	-72	-90	top
D20	WS2812B	LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm	114.999999	-57	-90	top
D21	WS2812B	LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm	114.999999	-42	-90	top
D22	WS2812B	LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm	102.999999	-66	-90	top
D23	WS2812B	LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm	102.999999	-51	-90	top
D24	WS2812B	LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm	102.999999	-36	-90	top
D25	WS2812B	LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm	102.999999	-21	-90	top
D26	WS2812B	LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm	90.999999	-72	-90	top
D27	WS2812B	LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm	90.999999	-57	-90	top
D28	WS2812B	LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm	90.999999	-42	-90	top
D29	WS2812B	LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm	72.999999	-90	0	top
