Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1 uF","C_0805_2012Metric silk moved",117.000000,-117.000000,90.000000,top
"C2","0.1 uF","C_0805_2012Metric silk moved",103.000000,-122.000000,180.000000,top
"C3","0.1 uF","C_0805_2012Metric silk moved",89.000000,-117.000000,90.000000,top
"C4","0.1 uF","C_0805_2012Metric silk moved",83.000000,-102.000000,90.000000,top
"C5","0.1 uF","C_0805_2012Metric silk moved",89.000000,-87.000000,-90.000000,top
"C6","0.1 uF","C_0805_2012Metric silk moved",103.000000,-82.000000,0.000000,top
"C7","0.1 uF","C_0805_2012Metric silk moved",117.000000,-87.000000,180.000000,top
"C8","0.1 uF","C_0805_2012Metric silk moved",123.000000,-102.000000,-90.000000,top
"C9","0.1 uF","C_0805_2012Metric silk moved",133.000000,-119.000000,0.000000,top
"C10","0.1 uF","C_0805_2012Metric silk moved",148.000000,-119.000000,0.000000,top
"C11","0.1 uF","C_0805_2012Metric silk moved",163.000000,-119.000000,0.000000,top
"C12","0.1 uF","C_0805_2012Metric silk moved",139.000000,-107.000000,0.000000,top
"C13","0.1 uF","C_0805_2012Metric silk moved",154.000000,-107.000000,0.000000,top
"C14","0.1 uF","C_0805_2012Metric silk moved",169.000000,-107.000000,0.000000,top
"C15","0.1 uF","C_0805_2012Metric silk moved",184.000000,-107.000000,0.000000,top
"C16","0.1 uF","C_0805_2012Metric silk moved",133.000000,-95.000000,0.000000,top
"C17","0.1 uF","C_0805_2012Metric silk moved",148.000000,-95.000000,0.000000,top
"C18","0.1 uF","C_0805_2012Metric silk moved",163.000000,-95.000000,0.000000,top
"C19","0.1 uF","C_0805_2012Metric silk moved",120.000000,-72.000000,90.000000,top
"C20","0.1 uF","C_0805_2012Metric silk moved",120.000000,-57.000000,90.000000,top
"C21","0.1 uF","C_0805_2012Metric silk moved",120.000000,-42.000000,90.000000,top
"C22","0.1 uF","C_0805_2012Metric silk moved",108.000000,-66.000000,90.000000,top
"C23","0.1 uF","C_0805_2012Metric silk moved",108.000000,-51.000000,90.000000,top
"C24","0.1 uF","C_0805_2012Metric silk moved",108.000000,-36.000000,90.000000,top
"C25","0.1 uF","C_0805_2012Metric silk moved",108.000000,-21.000000,90.000000,top
"C26","0.1 uF","C_0805_2012Metric silk moved",96.000000,-72.000000,90.000000,top
"C27","0.1 uF","C_0805_2012Metric silk moved",96.000000,-57.000000,90.000000,top
"C28","0.1 uF","C_0805_2012Metric silk moved",96.000000,-42.000000,90.000000,top
"C29","0.1 uF","C_0805_2012Metric silk moved",73.000000,-85.000000,180.000000,top
